openssl_101f,boringssl_0.9,sim_value
request_certificate,ssl3_get_message,0.9502912767938294
PKCS12_key_gen_uni,X509_NAME_oneline,0.9501956043833187
SSL_CTX_new,SSL_CTX_new,0.9500909928010539
NAME_CONSTRAINTS_check,do_name_ex,0.9500550314415729
BN_GF2m_mod_inv,BN_div,0.949989778547337
NAME_CONSTRAINTS_check,compute_wNAF,0.9499708817914992
do_print_ex,RSA_padding_check_PKCS1_OAEP_mgf1,0.9499146189342145
tls1_cbc_remove_padding,asn1_template_ex_i2d,0.949871537961857
RAND_poll,PEM_do_header,0.9498606055172807
RAND_load_file,do_print_ex,0.9496769801495606
CRYPTO_gcm128_aad,CRYPTO_gcm128_encrypt_ctr32,0.9495919615167504
i2b_PVK,run_cert,0.9495604372163974
ec_GFp_simple_add,ECDSA_do_sign_ex,0.9495525202797659
BN_kronecker,BN_mod_exp_mont,0.9494795344768717
RAND_query_egd_bytes,RSA_padding_check_PKCS1_OAEP_mgf1,0.9494441468281913
CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt,0.9492531733672627
internal_verify,check_crl,0.9492530869042987
asn1_check_tlen,compute_wNAF,0.9491412150497406
a2d_ASN1_OBJECT,run_cert,0.9490097952481449
test_kron,BN_mod_sqrt,0.9488614310173364
CRYPTO_ctr128_encrypt_ctr32,CRYPTO_cfb128_encrypt,0.9487413672790787
RAND_query_egd_bytes,do_name_ex,0.9484840149778719
BN_hex2bn,do_print_ex,0.9483984234337234
ec_GFp_simple_point2oct,asn1_d2i_read_bio,0.9481319918276068
i2b_PVK,asn1_d2i_ex_primitive,0.9478834150944471
EVP_DecryptFinal_ex,do_print_ex,0.9478395855526303
a2i_ASN1_STRING,ASN1_generate_v3,0.9476409425780787
a2i_ASN1_STRING,a2d_ASN1_OBJECT,0.9476292516687772
DES_enc_write,do_name_ex,0.947502084408063
ASN1_verify,ASN1_item_verify,0.9473370983785361
do_dh_print,do_rsa_print,0.9473130637492687
do_name_ex,X509_NAME_add_entry,0.9473108502802171
x509_name_encode,x509_name_encode,0.9472692970507
test_kron,BN_div_recp,0.9472352311429728
compute_wNAF,a2d_ASN1_OBJECT,0.9471664846092565
do_print_ex,X509_NAME_add_entry,0.9471598371542486
ec_GFp_simple_is_on_curve,BN_mod_sqrt,0.9471591590388817
PEM_do_header,NAME_CONSTRAINTS_check,0.9471536457624776
CRYPTO_gcm128_aad,CRYPTO_gcm128_decrypt_ctr32,0.9470823795558084
DES_enc_read,long_i2c,0.9470503569279166
BN_mod_exp_recp,compute_wNAF,0.9469200407279479
DES_ofb64_encrypt,CAST_cfb64_encrypt,0.9469001430628441
ec_GF2m_montgomery_point_multiply,ec_GFp_simple_oct2point,0.9467350572002945
RSA_sign,RSA_padding_check_PKCS1_OAEP_mgf1,0.9467196631013435
EVP_VerifyFinal,do_print_ex,0.9466691920317054
fmtint,asn1_template_ex_i2d,0.9466556260253185
ec_GF2m_montgomery_point_multiply,ecdsa_sign_setup,0.9464628589729143
a2d_ASN1_OBJECT,mod_exp_recp,0.9464322918629847
ecdsa_do_verify,BN_mod_sqrt,0.9464102883254817
asn1_parse2,asn1_d2i_ex_primitive,0.9463927645158845
a2i_ASN1_ENUMERATED,a2d_ASN1_OBJECT,0.9463670435742801
rsa_item_sign,x509_rsa_ctx_to_pss,0.9463493920209951
ec_GF2m_simple_oct2point,BN_is_prime_fasttest_ex,0.9463023427175463
util_verbose,a2d_ASN1_OBJECT,0.9462721147819928
DES_ofb_encrypt,CAST_cfb64_encrypt,0.9462532710104783
BN_hex2bn,mod_exp_recp,0.9462474901842914
