openssl_101f,libressl_3,sim_value
ec_GFp_simple_add,ec_GFp_simple_dbl,0.987505396912214
conn_ctrl,conn_ctrl,0.9874347157158334
file_ctrl,file_ctrl,0.9874009600112925
aes_gcm_ctrl,aes_gcm_ctrl,0.9873485216695135
d2i_ASN1_UINTEGER,d2i_ASN1_UINTEGER,0.9873187886390793
process_pci_value,process_pci_value,0.987308796486949
mime_parse_hdr,mime_parse_hdr,0.9872604863420096
sign,sign,0.9869974183161936
ec_GFp_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.9868281688487794
ec_GFp_simple_dbl,ec_GFp_simple_add,0.9868112540392369
ASN1_generate_v3,ASN1_generate_v3,0.9867975021595514
BN_mod_inverse,BN_mod_sqrt,0.9867966197821887
cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_encrypt,0.9867239841556552
OCSP_url_svcloc_new,OCSP_url_svcloc_new,0.986651150640232
ecdsa_do_verify,ecdsa_do_verify,0.9866427023942513
x509_name_canon,x509_name_canon,0.9864988180922648
BN_mod_sqrt,BN_mod_inverse_internal,0.9863746218803329
d2i_ECPrivateKey,d2i_ECPrivateKey,0.9862738742602033
ec_GF2m_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.986186937871615
BN_mod_exp2_mont,BN_mod_exp2_mont,0.9861474607503042
CMS_decrypt_set1_pkey,CMS_decrypt_set1_pkey,0.9861192270608339
dhparam_main,dhparam_main,0.9860525908436059
X509_STORE_CTX_init,X509_STORE_CTX_init,0.986041994227294
ec_wNAF_mul,ec_wNAF_mul,0.9859946683783016
rc4_hmac_md5_ctrl,rc4_hmac_md5_ctrl,0.9857509090591853
BN_mod_exp_recp,BN_mod_exp_recp,0.9851844331680059
HMAC_Init_ex,HMAC_Init_ex,0.9851765039281211
ecdsa_sign_setup,ecdsa_sign_setup,0.9850588072592663
c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.9850247059341102
BN_div,BN_div_internal,0.9848952981133857
chopup_args,chopup_args,0.9846535815383213
cms_RecipientInfo_pwri_crypt,cms_RecipientInfo_pwri_crypt,0.9846402325350336
rsa_main,rsa_main,0.9845727832273936
BN_dec2bn,BN_dec2bn,0.9845538772622311
CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.984467953821601
